method_code,path_depth,path_length,has_auth,auth_token_length,auth_token_entropy,status_code,is_2xx,is_4xx,is_5xx,response_ms,hour,is_admin_path,is_debug_path,is_auth_endpoint,bola_suspected,payload_length,payload_entropy,has_special_chars,sqli_density,xss_density,cmd_injection_score,path_traversal_score,ssrf_score,mass_assignment_score,prompt_injection_score,query_param_count,query_length,header_count,is_burst_request,user_agent_suspicious,body_json_depth,label_id,label_name
0.0,1.0,5.0,1.0,95.0,4.384,204.0,1.0,0.0,0.0,0.21,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,6.0,0.0,0.0,0.0,0,normal
1.0,1.0,5.0,0.0,0.0,0.0,401.0,0.0,1.0,0.0,172.814,10.0,0.0,0.0,0.0,0.0,475.0,3.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,2.0,0,normal
0.0,2.0,10.0,1.0,130.0,4.181,200.0,1.0,0.0,0.0,28.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0,normal
1.0,1.0,48.0,1.0,40.0,3.8,200.0,1.0,0.0,0.0,179.366,23.0,0.0,0.0,0.0,0.0,111.0,4.747,4.0,0.863,0.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,7.0,0.0,0.0,1.0,5,sql_injection
0.0,7.0,101.0,1.0,0.0,0.0,400.0,0.0,1.0,0.0,12.145,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.856,0.0,0.0,0.0,1.0,41.0,6.0,0.0,0.0,0.0,7,path_traversal
1.0,2.0,15.0,0.0,0.0,0.0,429.0,0.0,1.0,0.0,23.112,2.0,0.0,0.0,1.0,0.0,30.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,6,rate_abuse
0.0,2.0,16.0,1.0,64.0,4.2,403.0,0.0,1.0,0.0,201.697,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1,bola
1.0,4.0,24.0,1.0,41.0,4.786,200.0,1.0,0.0,0.0,46.048,7.0,0.0,0.0,0.0,0.0,477.0,2.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0,normal
1.0,1.0,79.0,1.0,40.0,3.8,500.0,0.0,0.0,1.0,94.999,9.0,0.0,0.0,0.0,0.0,229.0,3.561,3.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,7.0,0.0,1.0,1.0,5,sql_injection
1.0,1.0,70.0,0.0,40.0,3.8,400.0,0.0,1.0,0.0,14.18,21.0,0.0,0.0,0.0,0.0,236.0,3.912,2.0,0.716,0.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,7.0,0.0,1.0,1.0,5,sql_injection
