method,path_depth,has_auth,status_code,response_ms,hour,is_admin_path,is_debug_path,is_error,bola_suspected,label_id,label_name
0,1,1,200,74.616,23,0,0,0,0,0,normal
0,2,1,403,221.7,13,0,0,0,1,1,bola
0,1,1,400,33.039,14,0,0,1,0,0,normal
0,3,0,200,100.902,19,0,0,0,0,0,normal
0,3,0,200,216.228,19,0,0,0,0,0,normal
2,4,1,200,15.311,0,0,0,0,0,0,normal
0,2,1,200,332.26,1,0,0,0,1,1,bola
0,2,1,200,54.224,13,0,0,0,1,1,bola
4,1,1,401,61.214,2,0,0,1,0,0,normal
0,3,0,200,49.155,17,0,0,0,0,0,normal
0,6,1,400,17.606,0,0,0,1,0,7,path_traversal
1,2,0,401,75.556,7,0,0,1,0,2,jwt_bypass
0,4,1,400,161.786,16,0,0,1,0,0,normal
0,2,1,403,66.591,18,0,0,0,1,1,bola
3,3,1,200,18.388,13,0,0,0,0,0,normal
0,1,1,400,28.146,2,0,0,1,0,0,normal
0,2,0,200,262.621,0,0,0,0,0,0,normal
1,4,0,422,161.682,17,0,0,1,0,0,normal
0,4,1,200,6.038,15,0,0,0,0,0,normal
1,4,1,201,19.261,18,0,0,0,0,0,normal
0,2,1,204,157.202,23,0,0,0,0,0,normal
0,4,1,200,70.894,16,0,0,0,0,0,normal
1,2,1,200,99.928,0,0,0,1,0,5,sql_injection
1,3,0,200,70.936,2,0,0,0,0,0,normal
1,2,1,201,142.758,13,0,0,0,0,0,normal
0,3,1,200,15.625,2,0,0,0,1,1,bola
1,2,0,200,179.128,17,0,0,0,0,0,normal
1,4,0,200,165.837,9,0,0,0,0,0,normal
1,2,0,401,112.807,16,0,0,1,0,2,jwt_bypass
0,2,1,200,140.564,12,1,0,1,0,3,admin_access
0,3,1,403,134.644,16,0,0,0,1,1,bola
0,2,1,200,1.474,1,1,0,1,0,3,admin_access
1,2,0,401,41.031,4,0,0,1,0,2,jwt_bypass
0,3,1,200,68.049,12,0,0,0,0,0,normal
2,3,1,401,43.146,5,0,0,1,0,0,normal
0,4,1,201,204.889,20,0,0,0,0,0,normal
0,2,0,200,20.851,14,0,0,1,0,5,sql_injection
0,3,1,200,325.36,18,0,0,0,0,0,normal
0,6,0,200,141.621,15,0,0,1,0,7,path_traversal
0,3,1,200,97.83,4,0,0,0,0,0,normal
0,3,1,403,30.241,4,0,0,0,1,1,bola
2,2,0,200,6.956,6,0,0,0,0,0,normal
1,2,0,200,39.734,20,0,0,1,0,6,rate_abuse
0,3,1,403,291.829,11,0,0,0,1,1,bola
0,1,0,200,171.247,12,0,0,0,0,0,normal
0,2,0,404,145.589,17,0,1,0,0,4,debug_access
0,2,1,200,1.165,14,0,0,0,1,1,bola
0,2,0,401,31.199,15,1,0,1,0,3,admin_access
0,3,1,200,49.298,11,0,0,0,0,0,normal
0,1,1,400,206.666,6,0,0,1,0,5,sql_injection
0,2,1,403,77.934,9,0,0,0,1,1,bola
0,3,0,404,22.79,2,0,0,1,0,0,normal
0,2,1,200,86.285,12,0,0,0,0,0,normal
1,1,1,200,25.999,9,0,0,0,0,0,normal
2,2,1,200,57.854,4,0,0,0,0,0,normal
0,3,1,200,18.519,14,0,0,0,0,0,normal
1,2,0,401,35.142,22,0,0,1,0,2,jwt_bypass
0,1,1,200,163.254,20,0,0,0,0,0,normal
0,1,1,200,47.477,9,0,0,0,0,0,normal
0,2,1,200,23.228,14,0,0,0,0,0,normal
0,1,1,200,90.12,22,0,0,0,0,0,normal
0,3,1,401,67.66,22,1,0,1,0,3,admin_access
3,2,1,200,51.158,0,0,0,0,0,0,normal
0,2,1,200,9.904,9,0,0,0,0,0,normal
0,2,1,422,76.101,18,0,0,1,0,0,normal
0,2,1,200,40.378,13,0,0,0,0,0,normal
1,3,1,400,123.24,22,0,0,1,0,5,sql_injection
0,4,1,200,33.289,9,0,0,0,0,0,normal
1,2,0,401,39.43,0,0,0,1,0,6,rate_abuse
0,2,0,200,21.067,22,0,1,0,0,4,debug_access
0,4,1,200,89.033,0,0,0,0,0,0,normal
0,2,1,201,91.264,22,0,0,0,0,0,normal
0,2,1,401,67.373,11,1,0,1,0,3,admin_access
0,2,1,200,56.11,10,0,0,0,0,0,normal
1,2,0,429,33.136,7,0,0,1,0,6,rate_abuse
1,2,0,429,28.72,3,0,0,1,0,6,rate_abuse
2,3,1,200,2.584,15,0,0,0,0,0,normal
0,3,1,200,192.83,17,1,0,1,0,3,admin_access
0,2,1,200,434.876,22,0,0,0,0,0,normal
0,4,1,404,50.237,7,0,0,1,0,0,normal
2,1,1,200,1.777,3,0,0,0,0,0,normal
0,4,1,201,65.243,12,0,0,0,0,0,normal
0,4,0,401,13.27,12,0,0,1,0,0,normal
0,3,1,200,172.249,5,0,0,0,1,1,bola
0,2,1,400,25.81,3,0,0,1,0,5,sql_injection
0,1,1,200,78.695,1,0,0,0,0,0,normal
4,2,1,200,17.616,19,0,0,0,0,0,normal
0,3,1,200,81.766,15,0,0,0,1,1,bola
0,5,1,404,126.351,10,0,0,1,0,7,path_traversal
0,3,1,403,29.685,21,0,0,0,1,1,bola
0,1,1,200,84.195,21,0,0,0,0,0,normal
0,5,0,404,144.281,21,0,0,1,0,7,path_traversal
0,3,1,200,35.27,16,1,0,1,0,3,admin_access
0,1,0,200,19.207,15,0,0,0,0,0,normal
1,2,0,401,104.95,23,0,0,1,0,2,jwt_bypass
0,3,1,200,80.551,16,1,0,1,0,3,admin_access
0,2,0,200,1.653,14,0,1,0,0,4,debug_access
0,4,1,200,66.395,0,0,0,0,0,0,normal
0,2,1,401,7.783,1,1,0,1,0,3,admin_access
0,8,0,400,76.413,7,0,0,1,0,7,path_traversal
1,2,0,429,17.987,8,0,0,1,0,6,rate_abuse
3,3,1,200,25.985,9,0,0,0,0,0,normal
0,4,1,200,84.146,17,0,0,0,0,0,normal
0,2,1,200,349.708,9,0,0,0,0,0,normal
0,2,1,500,273.199,15,0,0,1,0,5,sql_injection
0,3,1,403,68.101,16,0,0,0,1,1,bola
0,1,1,400,71.76,20,0,0,1,0,0,normal
4,2,1,422,1.506,9,0,0,1,0,0,normal
0,3,1,400,287.315,14,0,0,1,0,5,sql_injection
0,4,0,400,78.502,4,0,0,1,0,0,normal
2,2,1,204,27.673,5,0,0,0,0,0,normal
3,2,0,201,351.944,16,0,0,0,0,0,normal
0,1,0,400,87.09,19,0,0,1,0,5,sql_injection
0,5,0,404,99.418,8,0,0,1,0,7,path_traversal
0,3,1,200,7.85,5,0,0,0,1,1,bola
1,2,0,429,10.899,23,0,0,1,0,6,rate_abuse
0,2,0,404,4.184,4,0,1,0,0,4,debug_access
0,3,1,200,95.039,21,0,0,0,0,0,normal
0,4,1,400,67.43,5,0,0,1,0,7,path_traversal
0,4,1,200,19.334,16,0,0,0,0,0,normal
0,6,1,404,22.362,19,0,0,1,0,7,path_traversal
0,5,0,404,18.532,20,0,0,1,0,7,path_traversal
0,1,1,200,327.136,13,0,0,0,0,0,normal
0,2,0,200,35.81,21,0,1,0,0,4,debug_access
0,1,0,200,111.899,3,0,0,0,0,0,normal
0,4,0,401,54.107,21,0,0,1,0,0,normal
1,2,0,429,11.854,22,0,0,1,0,6,rate_abuse
0,1,1,200,1.395,3,0,0,0,0,0,normal
1,2,0,500,122.378,16,0,0,1,0,5,sql_injection
0,2,1,403,5.128,11,0,0,0,1,1,bola
0,3,1,200,105.523,0,0,0,0,0,0,normal
0,7,0,404,62.757,15,0,0,1,0,7,path_traversal
0,4,1,404,8.777,3,0,0,1,0,7,path_traversal
0,2,1,403,6.121,23,1,0,1,0,3,admin_access
0,3,0,200,87.227,22,0,0,0,0,0,normal
1,2,0,400,32.745,12,0,0,1,0,5,sql_injection
2,1,1,404,199.53,1,0,0,1,0,0,normal
1,4,1,200,97.187,16,0,0,0,0,0,normal
3,4,0,400,51.52,5,0,0,1,0,0,normal
2,1,1,200,0.427,5,0,0,0,0,0,normal
1,2,0,429,10.899,20,0,0,1,0,6,rate_abuse
1,2,0,429,22.711,19,0,0,1,0,6,rate_abuse
3,1,1,201,212.335,14,0,0,0,0,0,normal
1,3,1,400,59.179,23,0,0,1,0,5,sql_injection
0,3,1,200,31.776,4,0,0,0,0,0,normal
0,2,0,201,154.399,17,0,0,0,0,0,normal
